PSP,file1,file2,condition,sample_date,trial_id,rationale,sample_type,sample_id
PSP0001,Blank_Media_S50_R1_001.fastq.gz,Blank_Media_S50_R2_001.fastq.gz,Blank_Media_S50,2024-07-25,,pilot,,Blank_Media_S50
PSP0002,T1_0_03H_S4_R1_001.fastq.gz,T1_0_03H_S4_R2_001.fastq.gz,T1_0_03H_S4,2024-07-25,,pilot,T1,T1_0_03H_S4
PSP0003,T1_0_12H_S5_R1_001.fastq.gz,T1_0_12H_S5_R2_001.fastq.gz,T1_0_12H_S5,2024-07-25,,pilot,T1,T1_0_12H_S5
PSP0004,T1_0_3H_S6_R1_001.fastq.gz,T1_0_3H_S6_R2_001.fastq.gz,T1_0_3H_S6,2024-07-25,,pilot,T1,T1_0_3H_S6
PSP0005,T1_0_3M_S1_R1_001.fastq.gz,T1_0_3M_S1_R2_001.fastq.gz,T1_0_3M_S1,2024-07-25,,pilot,T1,T1_0_3M_S1
PSP0006,T1_3M_S2_R1_001.fastq.gz,T1_3M_S2_R2_001.fastq.gz,T1_3M_S2,2024-07-25,,pilot,T1,T1_3M_S2
PSP0007,T1_6M_S3_R1_001.fastq.gz,T1_6M_S3_R2_001.fastq.gz,T1_6M_S3,2024-07-25,,pilot,T1,T1_6M_S3
PSP0008,T1_NT_S7_R1_001.fastq.gz,T1_NT_S7_R2_001.fastq.gz,T1_NT_S7,2024-07-25,,pilot,T1,T1_NT_S7
PSP0009,T2_0_03H_S11_R1_001.fastq.gz,T2_0_03H_S11_R2_001.fastq.gz,T2_0_03H_S11,2024-07-25,,pilot,T2,T2_0_03H_S11
PSP0010,T2_0_12H_S12_R1_001.fastq.gz,T2_0_12H_S12_R2_001.fastq.gz,T2_0_12H_S12,2024-07-25,,pilot,T2,T2_0_12H_S12
PSP0011,T2_0_3H_S13_R1_001.fastq.gz,T2_0_3H_S13_R2_001.fastq.gz,T2_0_3H_S13,2024-07-25,,pilot,T2,T2_0_3H_S13
PSP0012,T2_0_3M_S8_R1_001.fastq.gz,T2_0_3M_S8_R2_001.fastq.gz,T2_0_3M_S8,2024-07-25,,pilot,T2,T2_0_3M_S8
PSP0013,T2_3M_S9_R1_001.fastq.gz,T2_3M_S9_R2_001.fastq.gz,T2_3M_S9,2024-07-25,,pilot,T2,T2_3M_S9
PSP0014,T2_6M_S10_R1_001.fastq.gz,T2_6M_S10_R2_001.fastq.gz,T2_6M_S10,2024-07-25,,pilot,T2,T2_6M_S10
PSP0015,T2_NT_S14_R1_001.fastq.gz,T2_NT_S14_R2_001.fastq.gz,T2_NT_S14,2024-07-25,,pilot,T2,T2_NT_S14
PSP0016,T3_0_03H_S18_R1_001.fastq.gz,T3_0_03H_S18_R2_001.fastq.gz,T3_0_03H_S18,2024-07-25,,pilot,T3,T3_0_03H_S18
PSP0017,T3_0_12H_S19_R1_001.fastq.gz,T3_0_12H_S19_R2_001.fastq.gz,T3_0_12H_S19,2024-07-25,,pilot,T3,T3_0_12H_S19
PSP0018,T3_0_3H_S20_R1_001.fastq.gz,T3_0_3H_S20_R2_001.fastq.gz,T3_0_3H_S20,2024-07-25,,pilot,T3,T3_0_3H_S20
PSP0019,T3_0_3M_S15_R1_001.fastq.gz,T3_0_3M_S15_R2_001.fastq.gz,T3_0_3M_S15,2024-07-25,,pilot,T3,T3_0_3M_S15
PSP0020,T3_3M_S16_R1_001.fastq.gz,T3_3M_S16_R2_001.fastq.gz,T3_3M_S16,2024-07-25,,pilot,T3,T3_3M_S16
PSP0021,T3_6M_S17_R1_001.fastq.gz,T3_6M_S17_R2_001.fastq.gz,T3_6M_S17,2024-07-25,,pilot,T3,T3_6M_S17
PSP0022,T3_NT_S21_R1_001.fastq.gz,T3_NT_S21_R2_001.fastq.gz,T3_NT_S21,2024-07-25,,pilot,T3,T3_NT_S21
PSP0023,T4_0_03H_S25_R1_001.fastq.gz,T4_0_03H_S25_R2_001.fastq.gz,T4_0_03H_S25,2024-07-25,,pilot,T4,T4_0_03H_S25
PSP0024,T4_0_12H_S26_R1_001.fastq.gz,T4_0_12H_S26_R2_001.fastq.gz,T4_0_12H_S26,2024-07-25,,pilot,T4,T4_0_12H_S26
PSP0025,T4_0_3H_S27_R1_001.fastq.gz,T4_0_3H_S27_R2_001.fastq.gz,T4_0_3H_S27,2024-07-25,,pilot,T4,T4_0_3H_S27
PSP0026,T4_0_3M_S22_R1_001.fastq.gz,T4_0_3M_S22_R2_001.fastq.gz,T4_0_3M_S22,2024-07-25,,pilot,T4,T4_0_3M_S22
PSP0027,T4_3M_S23_R1_001.fastq.gz,T4_3M_S23_R2_001.fastq.gz,T4_3M_S23,2024-07-25,,pilot,T4,T4_3M_S23
PSP0028,T4_6M_S24_R1_001.fastq.gz,T4_6M_S24_R2_001.fastq.gz,T4_6M_S24,2024-07-25,,pilot,T4,T4_6M_S24
PSP0029,T4_NT_S28_R1_001.fastq.gz,T4_NT_S28_R2_001.fastq.gz,T4_NT_S28,2024-07-25,,pilot,T4,T4_NT_S28
PSP0030,T6_0_03H_S32_R1_001.fastq.gz,T6_0_03H_S32_R2_001.fastq.gz,T6_0_03H_S32,2024-07-25,,pilot,T6,T6_0_03H_S32
PSP0031,T6_0_12H_S33_R1_001.fastq.gz,T6_0_12H_S33_R2_001.fastq.gz,T6_0_12H_S33,2024-07-25,,pilot,T6,T6_0_12H_S33
PSP0032,T6_0_3H_S34_R1_001.fastq.gz,T6_0_3H_S34_R2_001.fastq.gz,T6_0_3H_S34,2024-07-25,,pilot,T6,T6_0_3H_S34
PSP0033,T6_0_3M_S29_R1_001.fastq.gz,T6_0_3M_S29_R2_001.fastq.gz,T6_0_3M_S29,2024-07-25,,pilot,T6,T6_0_3M_S29
PSP0034,T6_3M_S30_R1_001.fastq.gz,T6_3M_S30_R2_001.fastq.gz,T6_3M_S30,2024-07-25,,pilot,T6,T6_3M_S30
PSP0035,T6_6M_S31_R1_001.fastq.gz,T6_6M_S31_R2_001.fastq.gz,T6_6M_S31,2024-07-25,,pilot,T6,T6_6M_S31
PSP0036,T6_NT_S35_R1_001.fastq.gz,T6_NT_S35_R2_001.fastq.gz,T6_NT_S35,2024-07-25,,pilot,T6,T6_NT_S35
PSP0037,T7_0_03H_S39_R1_001.fastq.gz,T7_0_03H_S39_R2_001.fastq.gz,T7_0_03H_S39,2024-07-25,,pilot,T7,T7_0_03H_S39
PSP0038,T7_0_12H_S40_R1_001.fastq.gz,T7_0_12H_S40_R2_001.fastq.gz,T7_0_12H_S40,2024-07-25,,pilot,T7,T7_0_12H_S40
PSP0039,T7_0_3H_S41_R1_001.fastq.gz,T7_0_3H_S41_R2_001.fastq.gz,T7_0_3H_S41,2024-07-25,,pilot,T7,T7_0_3H_S41
PSP0040,T7_0_3M_S36_R1_001.fastq.gz,T7_0_3M_S36_R2_001.fastq.gz,T7_0_3M_S36,2024-07-25,,pilot,T7,T7_0_3M_S36
PSP0041,T7_3M_S37_R1_001.fastq.gz,T7_3M_S37_R2_001.fastq.gz,T7_3M_S37,2024-07-25,,pilot,T7,T7_3M_S37
PSP0042,T7_6M_S38_R1_001.fastq.gz,T7_6M_S38_R2_001.fastq.gz,T7_6M_S38,2024-07-25,,pilot,T7,T7_6M_S38
PSP0043,T7_NT_S42_R1_001.fastq.gz,T7_NT_S42_R2_001.fastq.gz,T7_NT_S42,2024-07-25,,pilot,T7,T7_NT_S42
PSP0044,T8_0_03H_S46_R1_001.fastq.gz,T8_0_03H_S46_R2_001.fastq.gz,T8_0_03H_S46,2024-07-25,,pilot,T8,T8_0_03H_S46
PSP0045,T8_0_12H_S47_R1_001.fastq.gz,T8_0_12H_S47_R2_001.fastq.gz,T8_0_12H_S47,2024-07-25,,pilot,T8,T8_0_12H_S47
PSP0046,T8_0_3H_S48_R1_001.fastq.gz,T8_0_3H_S48_R2_001.fastq.gz,T8_0_3H_S48,2024-07-25,,pilot,T8,T8_0_3H_S48
PSP0047,T8_0_3M_S43_R1_001.fastq.gz,T8_0_3M_S43_R2_001.fastq.gz,T8_0_3M_S43,2024-07-25,,pilot,T8,T8_0_3M_S43
PSP0048,T8_3M_S44_R1_001.fastq.gz,T8_3M_S44_R2_001.fastq.gz,T8_3M_S44,2024-07-25,,pilot,T8,T8_3M_S44
PSP0049,T8_6M_S45_R1_001.fastq.gz,T8_6M_S45_R2_001.fastq.gz,T8_6M_S45,2024-07-25,,pilot,T8,T8_6M_S45
