"PSP","sample_id","trial_id","files","sample_type","rationale","sample_date","files.1","report_date","amplicon","reads_aligned","percent_aligned","average_coverage","percent50x_coverage","number_mutations","predicted_variant","error","command_sam","command_bam","command_filt1","command_qual","command_sort","command_index","command_pileup1","command_pileup2","command_var1","command_var2","command_consensus","version_bwa","version_samtools","version_bcftools","version_bbmap"
"PSP0052","1-T10_0_12H_S13",NA,"1-T10_0_12H_S13_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",4,0,NA,0,NA,NA,"|no consensus made - too low coverage|","bwa mem -M T10.fasta 00_Raw-Data/1-T10_0_12H_S13_R1_001.fastq.gz 00_Raw-Data/1-T10_0_12H_S13_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam > ./01_Bam-Files/1-T10_0_12H_S13_genome.bam","samtools view -h ./01_Bam-Files/1-T10_0_12H_S13_genome.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_covstats.txt basecov=./02_Variant-Calling/1-T10_0_12H_S13_basecov.txt countgc=f overwrite=t 2> PSP0052.txt","samtools mpileup ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_0_12H_S13_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_allVariants.vcf shist=./02_Variant-Calling/1-T10_0_12H_S13_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)",NA
"PSP0052","1-T10_0_12H_S13",NA,"1-T10_0_12H_S13_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",4,0,NA,0,NA,NA,"|no consensus made - too low coverage||no consensus made - too low coverage|","bwa mem -M T10.fasta 00_Raw-Data/1-T10_0_12H_S13_R1_001.fastq.gz 00_Raw-Data/1-T10_0_12H_S13_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam > ./01_Bam-Files/1-T10_0_12H_S13_genome.bam","samtools view -h ./01_Bam-Files/1-T10_0_12H_S13_genome.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_covstats.txt basecov=./02_Variant-Calling/1-T10_0_12H_S13_basecov.txt countgc=f overwrite=t 2> PSP0052.txt","samtools mpileup ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_0_12H_S13_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_allVariants.vcf shist=./02_Variant-Calling/1-T10_0_12H_S13_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0052","1-T10_0_12H_S13",NA,"1-T10_0_12H_S13_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",4,0,NA,0,NA,NA,"|no consensus made - too low coverage||no consensus made - too low coverage||no consensus made - too low coverage|","bwa mem -M T10.fasta 00_Raw-Data/1-T10_0_12H_S13_R1_001.fastq.gz 00_Raw-Data/1-T10_0_12H_S13_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_0_12H_S13_genome.sam > ./01_Bam-Files/1-T10_0_12H_S13_genome.bam","samtools view -h ./01_Bam-Files/1-T10_0_12H_S13_genome.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.bam > ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_covstats.txt basecov=./02_Variant-Calling/1-T10_0_12H_S13_basecov.txt countgc=f overwrite=t 2> PSP0052.txt","samtools mpileup ./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_0_12H_S13_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_0_12H_S13_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_12H_S13_allVariants.vcf shist=./02_Variant-Calling/1-T10_0_12H_S13_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0054","1-T10_0_3M_S9",NA,"1-T10_0_3M_S9_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",318680,0,NA,10436900,NA,NA,"","bwa mem -M T10.fasta 00_Raw-Data/1-T10_0_3M_S9_R1_001.fastq.gz 00_Raw-Data/1-T10_0_3M_S9_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_0_3M_S9_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_0_3M_S9_genome.sam > ./01_Bam-Files/1-T10_0_3M_S9_genome.bam","samtools view -h ./01_Bam-Files/1-T10_0_3M_S9_genome.bam > ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.bam > ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_3M_S9_covstats.txt basecov=./02_Variant-Calling/1-T10_0_3M_S9_basecov.txt countgc=f overwrite=t 2> PSP0054.txt","samtools mpileup ./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_0_3M_S9_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_0_3M_S9_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_3M_S9_allVariants.vcf shist=./02_Variant-Calling/1-T10_0_3M_S9_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0055","1-T10_3M_S10",NA,"1-T10_3M_S10_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",256472,0,NA,7158000,NA,NA,"","bwa mem -M T10.fasta 00_Raw-Data/1-T10_3M_S10_R1_001.fastq.gz 00_Raw-Data/1-T10_3M_S10_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_3M_S10_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_3M_S10_genome.sam > ./01_Bam-Files/1-T10_3M_S10_genome.bam","samtools view -h ./01_Bam-Files/1-T10_3M_S10_genome.bam > ./01_Bam-Files/1-T10_3M_S10_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_3M_S10_genome.filt.bam > ./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_3M_S10_covstats.txt basecov=./02_Variant-Calling/1-T10_3M_S10_basecov.txt countgc=f overwrite=t 2> PSP0055.txt","samtools mpileup ./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_3M_S10_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_3M_S10_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_3M_S10_allVariants.vcf shist=./02_Variant-Calling/1-T10_3M_S10_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0062","1-T11_3M_S17",NA,"1-T11_3M_S17_RX_001.fastq.gz","T11","pilot","2024-08-07",NA,"09/19/2024","T11",99216,0,NA,540800,NA,NA,"","bwa mem -M T11.fasta 00_Raw-Data/1-T11_3M_S17_R1_001.fastq.gz 00_Raw-Data/1-T11_3M_S17_R2_001.fastq.gz >  ./temp_Sam-Files/1-T11_3M_S17_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T11_3M_S17_genome.sam > ./01_Bam-Files/1-T11_3M_S17_genome.bam","samtools view -h ./01_Bam-Files/1-T11_3M_S17_genome.bam > ./01_Bam-Files/1-T11_3M_S17_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T11_3M_S17_genome.filt.bam > ./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.sorted.bam ref=T11.fasta out=./02_Variant-Calling/1-T11_3M_S17_covstats.txt basecov=./02_Variant-Calling/1-T11_3M_S17_basecov.txt countgc=f overwrite=t 2> PSP0062.txt","samtools mpileup ./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.sorted.bam -f ./T11.fasta > ./02_Variant-Calling/1-T11_3M_S17_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T11_3M_S17_genome.filt.qual.sorted.bam ref=T11.fasta out=./02_Variant-Calling/1-T11_3M_S17_allVariants.vcf shist=./02_Variant-Calling/1-T11_3M_S17_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0056","1-T10_6M_S11",NA,"1-T10_6M_S11_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",192098,0,NA,5748800,NA,NA,"","bwa mem -M T10.fasta 00_Raw-Data/1-T10_6M_S11_R1_001.fastq.gz 00_Raw-Data/1-T10_6M_S11_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_6M_S11_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_6M_S11_genome.sam > ./01_Bam-Files/1-T10_6M_S11_genome.bam","samtools view -h ./01_Bam-Files/1-T10_6M_S11_genome.bam > ./01_Bam-Files/1-T10_6M_S11_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_6M_S11_genome.filt.bam > ./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_6M_S11_covstats.txt basecov=./02_Variant-Calling/1-T10_6M_S11_basecov.txt countgc=f overwrite=t 2> PSP0056.txt","samtools mpileup ./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_6M_S11_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_6M_S11_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_6M_S11_allVariants.vcf shist=./02_Variant-Calling/1-T10_6M_S11_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0053","1-T10_0_3H_S14",NA,"1-T10_0_3H_S14_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",221230,0,NA,4864800,NA,NA,"","bwa mem -M T10.fasta 00_Raw-Data/1-T10_0_3H_S14_R1_001.fastq.gz 00_Raw-Data/1-T10_0_3H_S14_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_0_3H_S14_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_0_3H_S14_genome.sam > ./01_Bam-Files/1-T10_0_3H_S14_genome.bam","samtools view -h ./01_Bam-Files/1-T10_0_3H_S14_genome.bam > ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.bam > ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_3H_S14_covstats.txt basecov=./02_Variant-Calling/1-T10_0_3H_S14_basecov.txt countgc=f overwrite=t 2> PSP0053.txt","samtools mpileup ./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_0_3H_S14_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_0_3H_S14_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_0_3H_S14_allVariants.vcf shist=./02_Variant-Calling/1-T10_0_3H_S14_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0057","1-T10_NT_S8",NA,"1-T10_NT_S8_RX_001.fastq.gz","T10","pilot","2024-08-07",NA,"09/19/2024","T10",500308,0,NA,10483400,NA,NA,"","bwa mem -M T10.fasta 00_Raw-Data/1-T10_NT_S8_R1_001.fastq.gz 00_Raw-Data/1-T10_NT_S8_R2_001.fastq.gz >  ./temp_Sam-Files/1-T10_NT_S8_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T10_NT_S8_genome.sam > ./01_Bam-Files/1-T10_NT_S8_genome.bam","samtools view -h ./01_Bam-Files/1-T10_NT_S8_genome.bam > ./01_Bam-Files/1-T10_NT_S8_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T10_NT_S8_genome.filt.bam > ./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_NT_S8_covstats.txt basecov=./02_Variant-Calling/1-T10_NT_S8_basecov.txt countgc=f overwrite=t 2> PSP0057.txt","samtools mpileup ./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.sorted.bam -f ./T10.fasta > ./02_Variant-Calling/1-T10_NT_S8_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T10_NT_S8_genome.filt.qual.sorted.bam ref=T10.fasta out=./02_Variant-Calling/1-T10_NT_S8_allVariants.vcf shist=./02_Variant-Calling/1-T10_NT_S8_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
"PSP0069","1-T12_6M_S26",NA,"1-T12_6M_S26_RX_001.fastq.gz","T12","pilot","2024-08-07",NA,"09/19/2024","T12",40476,0,NA,1000,NA,NA,"","bwa mem -M T12.fasta 00_Raw-Data/1-T12_6M_S26_R1_001.fastq.gz 00_Raw-Data/1-T12_6M_S26_R2_001.fastq.gz >  ./temp_Sam-Files/1-T12_6M_S26_genome.sam","samtools view -S -b -h ./temp_Sam-Files/1-T12_6M_S26_genome.sam > ./01_Bam-Files/1-T12_6M_S26_genome.bam","samtools view -h ./01_Bam-Files/1-T12_6M_S26_genome.bam > ./01_Bam-Files/1-T12_6M_S26_genome.filt.bam","samtools view -h -q 30 -b ./01_Bam-Files/1-T12_6M_S26_genome.filt.bam > ./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.bam","samtools sort -o ./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.sorted.bam ./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.bam","samtools index ./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.sorted.bam","./Bin/bbmap/pileup.sh in=./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.sorted.bam ref=T12.fasta out=./02_Variant-Calling/1-T12_6M_S26_covstats.txt basecov=./02_Variant-Calling/1-T12_6M_S26_basecov.txt countgc=f overwrite=t 2> PSP0069.txt","samtools mpileup ./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.sorted.bam -f ./T12.fasta > ./02_Variant-Calling/1-T12_6M_S26_pileup.tsv","./Bin/bbmap/callvariants.sh in=./01_Bam-Files/1-T12_6M_S26_genome.filt.qual.sorted.bam ref=T12.fasta out=./02_Variant-Calling/1-T12_6M_S26_allVariants.vcf shist=./02_Variant-Calling/1-T12_6M_S26_variantQualityHisto.txt rarity=0 overwrite=t clearfilters","","","0.7.17-r1188","1.13 (using htslib 1.13+ds)","1.13 (using htslib 1.13+ds)","BBTools version 39.08"
